task,relative_path,size_bytes,sha256,tableshift_commit
nhanes_lead,DEMO_J2017.XPT,3412720,c0b46e0345ea19404928656277c8b0d10b0cca348a9b2fe4fc3c67e8b7ee73ec,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,INQ_E2007.XPT,1220800,2365c39449a0df411e7f9a6ddc4e9423fe0dd556507ab1cc646022e70223fb4a,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,INQ_F2009.XPT,1267360,af90c815051aa84482aa7e16673e1e4860430178123305369cb0fbf0281f641d,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,INQ_G2011.XPT,1173600,9fcc77fe0ee97757bba7cb7b20d2a88388d22454217bd92804e4b04b194134f3,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,INQ_H2013.XPT,1223920,309de9a87335a545a0b61526942a99f7959f4d607d47a45c64f63ef91607c5b1,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,INQ_I2015.XPT,1279280,9624b486977638df2e6edf8e29ea311f2bd3cf7c2c0c17091deb6e51db42744f,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,INQ_J2017.XPT,1187520,fc69a9aa8c8125d624ca67688050cc1f34b1455d64bc67832f5f1288281e5064,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,L06BMT_C2003.XPT,662960,0c57f6a5e800a0f2a72191596f5725ee452365a194d49b689af6c66dfab1bf29,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,L06_2_B2001.XPT,87200,631d846c5942b4256bcab334315b16f478318ec3a518aaa0f82f731b17a3698a,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,L06_B2001.XPT,1751360,92e31c9dc039a973dcd769852010cc78984a6a235fa0d2f802aa5e76b4cca051,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,LAB061999.XPT,2903440,5ae7ee4a4b7be64b044af9a2f2987129790524c682db0b2b9b2e1672b74012e5,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,PBCD_D2005.XPT,606000,595dbf32fa1e5d652333d65c8f4aafdd95f9d8fc4b13e77b8249eff45e76a078,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,PBCD_E2007.XPT,597520,b16c6f4153ed3e08bc48f7ee3228834f853acc23b7590dc72c7793b7448bd125,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,PBCD_F2009.XPT,788960,932c90e58f7b0b969a91bb69ff61a72e82bddfc4c22ea5dc73c094b291a7264a,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,PBCD_G2011.XPT,1149360,996cc3daaae69bf043785b274b02d4921dd2e49ec819c528707752d675ebd191,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,PBCD_H2013.XPT,809920,fd354c927ba6344256bdef540ce32821ed35a85f18a4014a94be337f148afd26,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,PBCD_I2015.XPT,794000,7556d180dbe580ebf439b22201b02db408ee995640e29946e7e60f43f583aa9d,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,PBCD_J2017.XPT,1073840,66859650ceda3969f2b20da86eaca22197cfc93544598bd7a738329515e8c895,fca9429814703a07e3902d005d46563a207b7f0a
